id, sequence_id,probability_of_presequence, prediction,cleavage_site, net_charge, position_tom_20_motif, position_amphypathic_alpha_helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,unnamed
11, NP_904339 GeneID:17722 ND6,0, No mitochondrial presequence, 69(Icp55*),0.015, , 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
12, NP_904340 GeneID:17711 CYTB,0.035, No mitochondrial presequence, 81(MPP),0.025," 10-14,66-70,78-82", 8-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
13, NP_663356 GeneID:212442 Lactb2,0.235, No mitochondrial presequence, 43(MPP),0.093, 15-19, 8-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
14, NP_780445 GeneID:76187 Adhfe1,0.298, No mitochondrial presequence, 15(MPP),0.2, 9-13, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
15, NP_076003 GeneID:69527 Mrps9,0.085, No mitochondrial presequence, 44(MPP),0.091," 8-12,46-50", 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
16, NP_001074550 GeneID:14660 Gls,0.997, Possessing mitochondrial presequence, 37(MPP),0.189, , 5-14-low, -, -, -, -, -, -, -, -, 23-28, -, -, -, -, -, 
17, NP_001074650 GeneID:68115 9430016H08Rik,0.796, Possessing mitochondrial presequence, 47(MPP),0.128," 4-8,57-61", 13-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
18, NP_075364 GeneID:65102 Nif3l1,0.346, No mitochondrial presequence, 25(MPP),0.12, , 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
19, NP_079873 GeneID:66495 Ndufb3,0.048, No mitochondrial presequence, 59(MPP),0.017, 56-60, 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
20, NP_663493 GeneID:227197 Ndufs1,0.98, Possessing mitochondrial presequence, 23(MPP),0.217," 6-10,60-64,85-89", 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
21, NP_001153511 GeneID:227197 Ndufs1,0.98, Possessing mitochondrial presequence, 23(MPP),0.217," 6-10,60-64,85-89", 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
22, NP_001153512 GeneID:227197 Ndufs1,0.98, Possessing mitochondrial presequence, 23(MPP),0.217," 6-10,60-64,85-89", 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
23, NP_001153510 GeneID:227197 Ndufs1,0.98, Possessing mitochondrial presequence, 23(MPP),0.217," 6-10,60-64,85-89", 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
24, NP_031407 GeneID:11363 Acadl,0.999, Possessing mitochondrial presequence, 27(MPP),0.222," 2-6,49-53,64-68", 2-11-high, -, 8-13, -, -, -, 6-11, -, -, -, 5-10, -, -, -, -, 
25, NP_080471 GeneID:108147 Atic,0.049, No mitochondrial presequence, 23(MPP),0, 95-99, 17-26-low, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
25, NP_080471 GeneID:108147 Atic,0.049, No mitochondrial presequence, 24(Icp55*),0, 95-99, 17-26-low, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
26, NP_083165 GeneID:98363 Efhd1,0, No mitochondrial presequence, 13(MPP),0.077, 96-100, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27, NP_849213 GeneID:98314 D2hgdh,0.939, Possessing mitochondrial presequence, 23(MPP),0.174, 46-50, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27, NP_849213 GeneID:98314 D2hgdh,0.939, Possessing mitochondrial presequence, 24(Icp55*),0.174, 46-50, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
28, NP_033871 GeneID:12043 Bcl2,0.042, No mitochondrial presequence, 27(MPP),0.111, 15-19, 15-25-low, -, -, -, -, 15-20, -, -, -, -, -, -, -, -, -, 
29, NP_064317 GeneID:19258 Ptpn4,0.159, No mitochondrial presequence, 12(MPP),0.25, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
30, NP_034813 GeneID:226519 Lamc1,0, No mitochondrial presequence, 33(MPP),0.121, 30-34, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
31, NP_079845 GeneID:66447 Mgst3,0, No mitochondrial presequence, 85(MPP),0.035," 22-26,95-99", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
32, NP_598570 GeneID:98256 Kmo,0.011, No mitochondrial presequence, 31(MPP),0.097, 65-69, 14-23-low, -, -, -, -, -, -, -, -, -, -, 25-30, -, -, -, 
33, NP_079576 GeneID:27395 Mrpl15,0.041, No mitochondrial presequence, 90(MPP),0.2, , 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
34, NP_001171129 GeneID:27395 Mrpl15,0.054, No mitochondrial presequence, 90(MPP),0.2, , 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
35, NP_032892 GeneID:18777 Lypla1,0, No mitochondrial presequence, 19(MPP),0.105, , 4-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
36, NP_080668 GeneID:70397 Tmem70,0.88, Possessing mitochondrial presequence, 78(MPP),0.064," 35-39,75-79", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
37, NP_081691 GeneID:70397 Tmem70,0.876, Possessing mitochondrial presequence, 77(MPP),0.065," 35-39,74-78", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
38, NP_034397 GeneID:14545 Gdap1,0, No mitochondrial presequence, 71(MPP),-0.014, 45-49, 16-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
39, NP_080779 GeneID:68002 1110058L19Rik,0.43, Possessing mitochondrial presequence, 29(MPP),0.172, 14-18, 21-30-high, -, -, 15-20, -, 14-19, -, -, -, -, -, -, -, -, -, 
40, NP_034072 GeneID:12859 Cox5b,0.99, Possessing mitochondrial presequence, 30(MPP),0.167, 2-6, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 1-6, -, -, 
41, NP_932123 GeneID:76178 Coa5,0, No mitochondrial presequence, 49(MPP),0, 1-5, 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
42, NP_001033007 GeneID:623661 Lipt1,0.111, No mitochondrial presequence, 13(MPP),0.154, 10-14, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
43, NP_081374 GeneID:107734 Mrpl30,0.895, Possessing mitochondrial presequence, 34(MPP),0.118, , 17-27-low, -, -, -, -, -, -, 4-9, -, -, -, -, -, -, -, 
44, NP_001106854 GeneID:14660 Gls,0.997, Possessing mitochondrial presequence, 37(MPP),0.189, , 5-14-low, -, -, -, -, -, -, -, -, 23-28, -, -, -, -, -, 
45, NP_666220 GeneID:227095 Hibch,0.88, Possessing mitochondrial presequence, 9(MPP),0.111, 6-10, 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
45, NP_666220 GeneID:227095 Hibch,0.88, Possessing mitochondrial presequence, 10(Icp55*),0.111, 6-10, 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
46, NP_001272768 GeneID:72085 Osgepl1,0.986, Possessing mitochondrial presequence, 25(MPP),0.28," 35-39,91-95", 17-26-high, -, -, -, -, -, -, -, -, -, -, 1-6, -, -, -, 
46, NP_001272768 GeneID:72085 Osgepl1,0.986, Possessing mitochondrial presequence, 26(Icp55*),0.28," 35-39,91-95", 17-26-high, -, -, -, -, -, -, -, -, -, -, 1-6, -, -, -, 
47, NP_032329 GeneID:15528 Hspe1,0.05, No mitochondrial presequence, 21(MPP),0.095," 6-10,13-17", 6-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
48, NP_034607 GeneID:15510 Hspd1,0.994, Possessing mitochondrial presequence, 25(MPP),0.2," 14-18,22-26", 3-12-low, -, -, -, -, -, 7-12, -, -, -, -, -, -, -, 6-11, 
48, NP_034607 GeneID:15510 Hspd1,0.994, Possessing mitochondrial presequence, 26(Icp55*),0.2," 14-18,22-26", 3-12-low, -, -, -, -, -, 7-12, -, -, -, -, -, -, -, 6-11, 
49, NP_080700 GeneID:67876 Coq10b,0.861, Possessing mitochondrial presequence, 33(MPP),0.121," 12-16,55-59", 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
50, NP_001034799 GeneID:67876 Coq10b,0.905, Possessing mitochondrial presequence, 33(MPP),0.121," 12-16,38-42", 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
51, NP_780648 GeneID:212679 Mars2,0.992, Possessing mitochondrial presequence, 21(MPP),0.333," 5-9,53-57", 1-10-high, -, -, -, -, -, -, 1-6, -, -, -, -, -, -, -, 
52, NP_082822 GeneID:73467 1700066M21Rik,0.266, No mitochondrial presequence, 51(MPP),0.078, , 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
53, NP_001073595 GeneID:12370 Casp8,0, No mitochondrial presequence, 72(MPP),-0.056," 21-25,41-45", 3-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
54, NP_001264855 GeneID:12370 Casp8,0, No mitochondrial presequence, 21(MPP),-0.048," 41-45,61-65", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
55, NP_033942 GeneID:12370 Casp8,0, No mitochondrial presequence, 72(MPP),-0.056," 21-25,41-45", 3-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
56, NP_766010 GeneID:75619 Fastkd2,0.999, Possessing mitochondrial presequence, 14(MPP),0.286, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
56, NP_766010 GeneID:75619 Fastkd2,0.999, Possessing mitochondrial presequence, 15(Icp55*),0.286, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
57, NP_001104790 GeneID:15926 Idh1,0, No mitochondrial presequence, 21(MPP),0, 18-22, 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
58, NP_034627 GeneID:15926 Idh1,0, No mitochondrial presequence, 21(MPP),0, 18-22, 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
59, NP_001074278 GeneID:227231 Cps1,0.984, Possessing mitochondrial presequence, 38(MPP),0.184," 1-5,7-11", 9-18-high, -, -, -, -, 7-12, 10-15, -, -, -, -, -, -, 1-6, -, 
59, NP_001074278 GeneID:227231 Cps1,0.984, Possessing mitochondrial presequence, 39(Icp55*),0.184," 1-5,7-11", 9-18-high, -, -, -, -, 7-12, 10-15, -, -, -, -, -, -, 1-6, -, 
60, NP_080060 GeneID:66821 Bcs1l,0.008, No mitochondrial presequence, 46(MPP),0.065, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
61, NP_077226 GeneID:104086 Cyp27a1,0.986, Possessing mitochondrial presequence, 30(MPP),0.167, , 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
62, NP_076221 GeneID:74104 Abcb6,0.003, No mitochondrial presequence, 52(MPP),0.019, , 18-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
63, NP_001074679 GeneID:69163 Mrpl44,0.972, Possessing mitochondrial presequence, 16(MPP),0.188, 5-9, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
63, NP_001074679 GeneID:69163 Mrpl44,0.972, Possessing mitochondrial presequence, 17(Icp55*),0.188, 5-9, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
64, NP_083685 GeneID:75734 Mff,0, No mitochondrial presequence, 21(MPP),-0.095, , 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
65, NP_077159 GeneID:67273 Ndufa10,0.997, Possessing mitochondrial presequence, 17(MPP),0.176," 2-6,5-9,56-60", 16-25-high, -, -, -, -, 2-7, -, -, -, -, -, -, -, -, -, 
65, NP_077159 GeneID:67273 Ndufa10,0.997, Possessing mitochondrial presequence, 18(Icp55*),0.176," 2-6,5-9,56-60", 16-25-high, -, -, -, -, 2-7, -, -, -, -, -, -, -, -, -, 
66, NP_001263639 GeneID:11611 Agxt,0.035, No mitochondrial presequence, 37(MPP),0.054, 34-38, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
66, NP_001263639 GeneID:11611 Agxt,0.035, No mitochondrial presequence, 38(Icp55*),0.054, 34-38, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
67, NP_057911 GeneID:11611 Agxt,0.97, Possessing mitochondrial presequence, 59(MPP),0.102," 1-5,56-60", 12-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
67, NP_057911 GeneID:11611 Agxt,0.97, Possessing mitochondrial presequence, 60(Icp55*),0.102," 1-5,56-60", 12-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
68, NP_835152 GeneID:69821 Mterfd2,0.432, Possessing mitochondrial presequence, 31(MPP),0.065, 11-15, 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
69, NP_776133 GeneID:241159 Neu4,0.196, No mitochondrial presequence, 16(MPP),0.188, 51-55, 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
70, NP_803129 GeneID:12043 Bcl2,0.042, No mitochondrial presequence, 27(MPP),0.111, 15-19, 15-25-low, -, -, -, -, 15-20, -, -, -, -, -, -, -, -, -, 
71, NP_780315 GeneID:66343 Tmem177,0.289, No mitochondrial presequence, 15(MPP),0.133, 5-9, 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
72, NP_031856 GeneID:13167 Dbi,0.003, No mitochondrial presequence, 16(MPP),-0.062, 6-10, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
73, NP_001033088 GeneID:13167 Dbi,0.192, No mitochondrial presequence, 17(MPP),0.059, 54-58, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
74, NP_082333 GeneID:72017 Cyb5r1,0, No mitochondrial presequence, 36(MPP),0.111," 48-52,71-75", 9-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
75, NP_035720 GeneID:21854 Timm17a,0, No mitochondrial presequence, 7(MPP),-0.286, , 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
76, NP_075994 GeneID:69367 Glrx2,0.005, No mitochondrial presequence, 90(MPP),0.022," 43-47,81-85", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
77, NP_001033683 GeneID:69367 Glrx2,0.005, No mitochondrial presequence, 90(MPP),0.022," 43-47,81-85", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
78, NP_001033681 GeneID:69367 Glrx2,0.993, Possessing mitochondrial presequence, 25(MPP),0.28," 3-7,76-80", 4-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
79, NP_001033682 GeneID:69367 Glrx2,0.005, No mitochondrial presequence, 90(MPP),0.022," 43-47,81-85", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
80, NP_001028456 GeneID:226527 BC026585,0.804, Possessing mitochondrial presequence, 26(MPP),0.154," 2-6,6-10", 18-27-high, -, -, -, -, -, -, 15-20, -, -, 14-19, -, 5-10, -, -, 
81, NP_079750 GeneID:64659 Mrps14,0.851, Possessing mitochondrial presequence, 27(MPP),0.111, , 4-13-high, -, -, -, -, -, 9-14, -, -, -, -, -, -, -, 8-13, 
82, NP_766232 GeneID:226539 Dars2,0.909, Possessing mitochondrial presequence, 32(MPP),0.188, 7-11, 6-18-high, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, 
82, NP_766232 GeneID:226539 Dars2,0.909, Possessing mitochondrial presequence, 33(Icp55*),0.188, 7-11, 6-18-high, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, 
83, NP_031479 GeneID:11758 Prdx6,0, No mitochondrial presequence, 65(MPP),-0.015," 51-55,54-58", 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
84, NP_081706 GeneID:70456 Mpc2,0.154, No mitochondrial presequence, 30(MPP),0.167, 13-17, 9-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
85, NP_064377 GeneID:56752 Aldh9a1,0.158, No mitochondrial presequence, 19(MPP),0.105," 16-20,85-89", 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
86, NP_079597 GeneID:66052 Sdhc,0.973, Possessing mitochondrial presequence, 26(MPP),0.154, 38-42, 6-15-high, -, -, -, -, -, -, 23-28, -, 4-9, 22-27, 3-8, -, -, -, 
87, NP_694704 GeneID:226646 Ndufs2,0.981, Possessing mitochondrial presequence, 26(MPP),0.192," 3-7,6-10,94-98", 10-19-high, -, -, 7-12, -," 3-8,6-11", -, -, -, -, -, -, -, -, -, 
88, NP_032937 GeneID:19044 Ppox,0.063, No mitochondrial presequence, 45(MPP),0.111, , 7-16-low, -, -, 19-24, -, -, -, -, -, -, -, -, -, -, -, 
89, NP_001032247 GeneID:641376 Tomm40l,0.005, No mitochondrial presequence, 36(MPP),0.028," 33-37,52-56", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
90, NP_001157997 GeneID:226654 Tstd1,0.765, Possessing mitochondrial presequence, 9(MPP),0.222, 1-5, 19-30-low, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, -, 
91, NP_036179 GeneID:27045 Nit1,0.868, Possessing mitochondrial presequence, 33(MPP),0.152, , 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
91, NP_036179 GeneID:27045 Nit1,0.868, Possessing mitochondrial presequence, 41(Oct1),0.152, , 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
92, NP_001229509 GeneID:27045 Nit1,0, No mitochondrial presequence, 40(MPP),-0.025, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
93, NP_034339 GeneID:14194 Fh1,1, Possessing mitochondrial presequence, 41(MPP),0.171," 1-5,4-8,31-35,38-42,96-100", 6-15-high, -, -, -, -, 1-6, -, -, -, -, -, -, -, -, -, 
94, NP_079787 GeneID:66359 Cox20,0, No mitochondrial presequence, 56(MPP),0.018, 45-49, 8-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
95, NP_032275 GeneID:15278 Tfb2m,0.734, Possessing mitochondrial presequence, 42(MPP),0.19, 76-80, 14-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
95, NP_032275 GeneID:15278 Tfb2m,0.734, Possessing mitochondrial presequence, 43(Icp55*),0.19, 76-80, 14-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
96, NP_848768 GeneID:109232 Sccpdh,0, No mitochondrial presequence, 40(MPP),-0.05, 56-60, 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
97, NP_001156762 GeneID:67426 Adck3,0.005, No mitochondrial presequence, 42(MPP),0, 39-43, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
98, NP_075830 GeneID:67426 Adck3,0.005, No mitochondrial presequence, 42(MPP),0, 39-43, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
99, NP_598466 GeneID:69051 Pycr2,0.024, No mitochondrial presequence, 18(MPP),0.056, 27-31, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
99, NP_598466 GeneID:69051 Pycr2,0.024, No mitochondrial presequence, 19(Icp55*),0.056, 27-31, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
100, NP_598445 GeneID:67247 Marc2,0.01, No mitochondrial presequence, 49(MPP),0.184, 57-61, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
101, NP_941055 GeneID:381314 Iars2,0.325, No mitochondrial presequence, 39(MPP),0.128, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
102, NP_666218 GeneID:226791 Lyplal1,0.027, No mitochondrial presequence, 21(MPP),0.095," 10-14,42-46", 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
103, NP_001185949 GeneID:52477 Angel2,0.223, No mitochondrial presequence, 28(MPP),0.071, 20-24, 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
104, NP_067396 GeneID:52477 Angel2,0.689, Possessing mitochondrial presequence, 50(MPP),0.14," 11-15,42-46", 4-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
105, NP_031786 GeneID:12908 Crat,0.936, Possessing mitochondrial presequence, 28(MPP),0.179, 50-54, 5-14-high, -, -, -, -, -, -, 5-10, -, -, 4-9, -, -, -, -, 
106, NP_766024 GeneID:78830 Slc25a12,0.004, No mitochondrial presequence, 43(MPP),-0.047, 40-44, 14-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
107, NP_082536 GeneID:66541 Immp1l,0.184, No mitochondrial presequence, 59(MPP),0," 6-10,9-13,22-26,82-86", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
108, NP_766446 GeneID:241656 Pak7,0, No mitochondrial presequence, 21(MPP),0.19, , 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
109, NP_001074600 GeneID:209692 Dhtkd1,0.997, Possessing mitochondrial presequence, 24(MPP),0.208," 10-14,14-18,57-61", 9-18-high, -, -, -, -, -, -, -, -, -, -, 18-23, -, -, -, 
110, NP_062374 GeneID:56075 Pdss1,0.228, No mitochondrial presequence, 37(MPP),0.162, 50-54, 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
111, NP_080698 GeneID:67871 Mrrf,0.959, Possessing mitochondrial presequence, 54(MPP),0.13," 7-11,52-56,74-78", 9-18-high, -, 16-21, 8-13, -, 7-12, 14-19, -, -, -, -, -, -, -, -, 
111, NP_080698 GeneID:67871 Mrrf,0.959, Possessing mitochondrial presequence, 55(Icp55*),0.13," 7-11,52-56,74-78", 9-18-high, -, 16-21, 8-13, -, 7-12, 14-19, -, -, -, -, -, -, -, -, 
112, NP_080979 GeneID:68375 Ndufa8,0, No mitochondrial presequence, 56(MPP),-0.018, 24-28, 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
113, NP_034404 GeneID:14571 Gpd2,0.878, Possessing mitochondrial presequence, 33(MPP),0.152, 3-7, 2-11-high, -, -, -, -, -, -, -, -, -, -, -, 2-7, -, -, 
114, NP_001139292 GeneID:14571 Gpd2,0.878, Possessing mitochondrial presequence, 33(MPP),0.152, 3-7, 2-11-high, -, -, -, -, -, -, -, -, -, -, -, 2-7, -, -, 
115, NP_663499 GeneID:228019 Mettl8,0.727, Possessing mitochondrial presequence, 21(MPP),0.238," 70-74,85-89", 5-14-high, -, -, -, -, -, -, 4-9, -, -, 3-8, -, -, -, -, 
116, NP_058084 GeneID:53375 Mtx2,0, No mitochondrial presequence, 30(MPP),-0.067, , 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
117, NP_780303 GeneID:27402 Pdhx,0.475, Possessing mitochondrial presequence, 45(MPP),0.111," 13-17,73-77", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
117, NP_780303 GeneID:27402 Pdhx,0.475, Possessing mitochondrial presequence, 53(Oct1),0.111," 13-17,73-77", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
118, NP_001153110 GeneID:74088 0610012H03Rik,0.944, Possessing mitochondrial presequence, 16(MPP),0.188," 5-9,68-72,72-76", 9-18-high, -, -, -, 6-11, -, -, -, 13-18, -, -, -, -, -, 12-17, 
119, NP_083023 GeneID:74088 0610012H03Rik,0.648, Possessing mitochondrial presequence, 40(MPP),0.15," 3-7,29-33,92-96,96-100", 2-11-high, -, -, -, -, -, -, 6-11, -, 1-6, -, -, -, -, -, 
120, NP_084066 GeneID:76894 Mettl15,0.691, Possessing mitochondrial presequence, 14(MPP),0.214," 11-15,15-19,80-84", 11-20-high, -, -, -, -, -, -, -, 7-12, -, 6-11, -, 14-19, 11-16, -, 
120, NP_084066 GeneID:76894 Mettl15,0.691, Possessing mitochondrial presequence, 15(Icp55*),0.214," 11-15,15-19,80-84", 11-20-high, -, -, -, -, -, -, -, 7-12, -, 6-11, -, 14-19, 11-16, -, 
121, NP_001028308 GeneID:67809 Rmdn3,0.083, No mitochondrial presequence, 38(MPP),0.132, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
122, NP_647469 GeneID:99138 Stard7,0.958, Possessing mitochondrial presequence, 32(MPP),0.125," 48-52,61-65", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
123, NP_001276668 GeneID:12048 Bcl2l1,0, No mitochondrial presequence, 46(MPP),-0.13, , 9-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
