id, sequence_id,probability_of_presequence, prediction,cleavage_site, net_charge, position_tom_20_motif, position_amphypathic_alpha_helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,unnamed
11, YP_003024030 GeneID:4509 ATP8,0.006, No mitochondrial presequence, 22(MPP),0, 55-59, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
12, YP_003024031 GeneID:4508 ATP6,0, No mitochondrial presequence, 42(MPP),0.024, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
13, NP_039234 GeneID:25932 CLIC4,0, No mitochondrial presequence, 41(MPP),-0.073, , 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
14, NP_001909 GeneID:1629 DBT,0.989, Possessing mitochondrial presequence, 22(MPP),0.227," 3-7,14-18,19-23", 6-18-high, -, -, -, -, 3-8, -, -, 6-11, -, -, -, -, -, -, 
15, NP_115785 GeneID:65018 PINK1,0.996, Possessing mitochondrial presequence, 69(MPP),0.159," 13-17,86-90,96-100", 3-12-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
15, NP_115785 GeneID:65018 PINK1,0.996, Possessing mitochondrial presequence, 77(Oct1),0.159," 13-17,86-90,96-100", 3-12-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
16, NP_002970 GeneID:6342 SCP2,0.017, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
17, NP_001180528 GeneID:6342 SCP2,0.012, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
18, NP_001180529 GeneID:6342 SCP2,0.018, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
19, NP_001180546 GeneID:6342 SCP2,0.067, No mitochondrial presequence, 25(MPP),0.04, , 21-30-low, -, -, -, -, -, -, 22-27, -, -, 21-26, -, -, -, -, 
20, NP_001127917 GeneID:23576 DDAH1,0, No mitochondrial presequence, 43(MPP),-0.047," 91-95,94-98", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
21, NP_060370 GeneID:54998 AURKAIP1,0.903, Possessing mitochondrial presequence, 48(MPP),0.104, 10-14, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
22, NP_863654 GeneID:11332 ACOT7,0.981, Possessing mitochondrial presequence, 22(MPP),0.227," 4-8,7-11,76-80", 10-19-low, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
23, NP_009205 GeneID:11332 ACOT7,0, No mitochondrial presequence, 81(MPP),-0.025," 46-50,66-70", 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
24, NP_055889 GeneID:23095 KIF1B,0.023, No mitochondrial presequence, 73(MPP),0.055, 82-86, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
25, NP_904325 GeneID:23095 KIF1B,0.022, No mitochondrial presequence, 73(MPP),0.055, 82-86, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
26, NP_055689 GeneID:9927 MFN2,0.088, No mitochondrial presequence, 20(MPP),0.25, 29-33, 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27, NP_001121132 GeneID:9927 MFN2,0.088, No mitochondrial presequence, 20(MPP),0.25, 29-33, 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
28, NP_001095132 GeneID:4898 NRD1,0.152, No mitochondrial presequence, 44(MPP),0.091, , 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
29, NP_002516 GeneID:4898 NRD1,0.149, No mitochondrial presequence, 44(MPP),0.091, , 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
30, NP_001229290 GeneID:4898 NRD1,0, No mitochondrial presequence, 68(MPP),-0.618, , 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
31, NP_660286 GeneID:115209 OMA1,0.257, No mitochondrial presequence, 19(MPP),0.105, 43-47, 3-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
32, NP_982289 GeneID:205 AK4,0.5, Possessing mitochondrial presequence, 72(MPP),0.056," 2-6,5-9,22-26,69-73", 20-29-high, -, -, -, -, -, -, -, -, -, -, -," 1-6,21-26", 22-27, -, 
33, NP_037542 GeneID:205 AK4,0.5, Possessing mitochondrial presequence, 72(MPP),0.056," 2-6,5-9,22-26,69-73", 20-29-high, -, -, -, -, -, -, -, -, -, -, -," 1-6,21-26", 22-27, -, 
34, NP_001005353 GeneID:205 AK4,0.5, Possessing mitochondrial presequence, 72(MPP),0.056," 2-6,5-9,22-26,69-73", 20-29-high, -, -, -, -, -, -, -, -, -, -, -," 1-6,21-26", 22-27, -, 
35, NP_036269 GeneID:23576 DDAH1,0.069, No mitochondrial presequence, 32(MPP),0.062," 13-17,17-21", 17-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
36, NP_001116146 GeneID:5825 ABCD3,0.867, Possessing mitochondrial presequence, 32(MPP),0.188," 4-8,59-63,64-68,70-74", 4-15-low, -, -, -, -, -, -, -, -, -, -, 23-28, 3-8, 4-9, -, 
37, NP_002849 GeneID:5825 ABCD3,0.85, Possessing mitochondrial presequence, 32(MPP),0.188," 4-8,59-63,64-68,70-74", 4-15-low, -, -, -, -, -, -, -, -, -, -, 23-28, 3-8, 4-9, -, 
38, NP_957715 GeneID:10352 WARS2,0.858, Possessing mitochondrial presequence, 18(MPP),0.222, 15-19, 14-23-high, -, -, -, -, 15-20, 2-7, -, -, -, 1-6, -, -, -, -, 
39, NP_056651 GeneID:10352 WARS2,0.86, Possessing mitochondrial presequence, 18(MPP),0.222, 15-19, 14-23-high, -, -, -, -, 15-20, 2-7, -, -, -, 1-6, -, -, -, -, 
40, NP_057611 GeneID:51179 HAO2,0, No mitochondrial presequence, 15(MPP),-0.067, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
41, NP_001005783 GeneID:51179 HAO2,0, No mitochondrial presequence, 15(MPP),-0.067, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
42, NP_079426 GeneID:80222 TARS2,0.287, No mitochondrial presequence, 50(MPP),0.1, 47-51, 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
43, NP_001258824 GeneID:80222 TARS2,0.283, No mitochondrial presequence, 50(MPP),0.1, 47-51, 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
44, NP_001258825 GeneID:80222 TARS2,0.285, No mitochondrial presequence, 50(MPP),0.1, 47-51, 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
45, NP_056230 GeneID:25874 MPC2,0.295, No mitochondrial presequence, 30(MPP),0.1, 13-17, 9-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
46, NP_001137146 GeneID:25874 MPC2,0.295, No mitochondrial presequence, 30(MPP),0.1, 13-17, 9-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
47, NP_060592 GeneID:55157 DARS2,0.585, Possessing mitochondrial presequence, 32(MPP),0.156, , 3-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
48, NP_002284 GeneID:3915 LAMC1,0.012, No mitochondrial presequence, 50(MPP),0.06, , 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
49, NP_932066 GeneID:51022 GLRX2,0.976, Possessing mitochondrial presequence, 13(MPP),0.231," 3-7,24-28,83-87", 21-30-low, -, -, -, -, -, -, -, -, 1-6, -, -, -, -, -, 
50, NP_057150 GeneID:51022 GLRX2,0.027, No mitochondrial presequence, 42(MPP),0.167, 84-88, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
51, NP_001230328 GeneID:51022 GLRX2,0, No mitochondrial presequence, 84(MPP),-0.036," 43-47,81-85", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
52, NP_073583 GeneID:64757 MARC1,0.17, No mitochondrial presequence, 51(MPP),0.157," 9-13,40-44", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
53, NP_064632 GeneID:56997 ADCK3,0.003, No mitochondrial presequence, 42(MPP),0," 39-43,83-87", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
54, NP_001092093 GeneID:84033 OBSCN,0.018, No mitochondrial presequence, 12(MPP),0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
54, NP_001092093 GeneID:84033 OBSCN,0.018, No mitochondrial presequence, 13(Icp55*),0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
55, NP_443075 GeneID:84033 OBSCN,0.018, No mitochondrial presequence, 12(MPP),0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
55, NP_443075 GeneID:84033 OBSCN,0.018, No mitochondrial presequence, 13(Icp55*),0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
56, NP_001258152 GeneID:84033 OBSCN,0.018, No mitochondrial presequence, 12(MPP),0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
56, NP_001258152 GeneID:84033 OBSCN,0.018, No mitochondrial presequence, 13(Icp55*),0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
57, NP_055580 GeneID:9804 TOMM20,0.008, No mitochondrial presequence, 30(MPP),0.133, 66-70, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
58, NP_003670 GeneID:8564 KMO,0.021, No mitochondrial presequence, 31(MPP),0.129, 65-69, 17-26-low, -, -, -, -, -, -, -, -, -, -, 25-30, -, -, -, 
59, NP_001120701 GeneID:54998 AURKAIP1,0.903, Possessing mitochondrial presequence, 48(MPP),0.104, 10-14, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
60, NP_001120702 GeneID:54998 AURKAIP1,0.903, Possessing mitochondrial presequence, 48(MPP),0.104, 10-14, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
61, NP_699170 GeneID:126789 PUSL1,0.011, No mitochondrial presequence, 65(MPP),0.031, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
62, NP_060441 GeneID:55052 MRPL20,0.85, Possessing mitochondrial presequence, 30(MPP),0.133," 38-42,46-50", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
63, NP_114127 GeneID:83858 ATAD3B,0, No mitochondrial presequence, 36(MPP),0," 55-59,58-62", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
64, NP_001164006 GeneID:55210 ATAD3A,0, No mitochondrial presequence, 36(MPP),0," 55-59,58-62", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
65, NP_001164007 GeneID:55210 ATAD3A,0, No mitochondrial presequence, 31(MPP),-0.065, , 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
66, NP_060658 GeneID:55210 ATAD3A,0, No mitochondrial presequence, 36(MPP),0," 55-59,58-62", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
67, NP_863656 GeneID:11332 ACOT7,0.01, No mitochondrial presequence, 40(MPP),0," 5-9,25-29", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
68, NP_863655 GeneID:11332 ACOT7,0.22, No mitochondrial presequence, 70(MPP),0.043," 17-21,46-50", 10-19-high, -, -, -, -, -, -, -, -, -, -, 1-6, -, -, -, 
69, NP_060668 GeneID:55735 DNAJC11,0, No mitochondrial presequence, 24(MPP),-0.208," 34-38,55-59", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
70, NP_009193 GeneID:11315 PARK7,0, No mitochondrial presequence, 28(MPP),0.036, , 9-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
71, NP_001116849 GeneID:11315 PARK7,0, No mitochondrial presequence, 28(MPP),0.036, , 9-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
72, NP_115691 GeneID:84275 SLC25A33,0.004, No mitochondrial presequence, 39(MPP),0.026, 12-16, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
73, NP_079034 GeneID:79814 AGMAT,0.871, Possessing mitochondrial presequence, 35(MPP),0.171, 1-5, 1-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
74, NP_997231 GeneID:284723 SLC25A34,0, No mitochondrial presequence, 49(MPP),0, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
75, NP_055239 GeneID:27129 HSPB7,0.019, No mitochondrial presequence, 14(MPP),0.143," 30-34,41-45", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
75, NP_055239 GeneID:27129 HSPB7,0.019, No mitochondrial presequence, 22(Oct1),0.143," 30-34,41-45", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
76, NP_002991 GeneID:6390 SDHB,0.963, Possessing mitochondrial presequence, 28(MPP),0.143, 39-43, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
77, NP_003739 GeneID:8659 ALDH4A1,0.996, Possessing mitochondrial presequence, 24(MPP),0.167," 8-12,50-54,91-95", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
78, NP_733844 GeneID:8659 ALDH4A1,0.996, Possessing mitochondrial presequence, 24(MPP),0.167," 8-12,50-54,91-95", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
79, NP_001154976 GeneID:8659 ALDH4A1,0, No mitochondrial presequence, 54(MPP),-0.019," 31-35,42-46,68-72", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
80, NP_003680 GeneID:8574 AKR7A2,0.999, Possessing mitochondrial presequence, 38(MPP),0.132," 5-9,9-13,13-17,59-63", 1-11-high, -, -, -, -, -, -, -, -, -, -, -," 4-9,8-13", 5-10, -, 
81, NP_001191012 GeneID:440574 MINOS1,0, No mitochondrial presequence, 39(MPP),0.077, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
82, NP_001191011 GeneID:440574 MINOS1,0.005, No mitochondrial presequence, 13(MPP),0," 10-14,21-25", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
82, NP_001191011 GeneID:440574 MINOS1,0.005, No mitochondrial presequence, 14(Icp55*),0," 10-14,21-25", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
83, NP_001027535 GeneID:440574 MINOS1,0.003, No mitochondrial presequence, 39(MPP),0.077, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
84, NP_078820 GeneID:79594 MUL1,0, No mitochondrial presequence, 31(MPP),0.032, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
85, NP_001159531 GeneID:3155 HMGCL,0.999, Possessing mitochondrial presequence, 20(MPP),0.25, 4-8, 3-12-high, 19-24, -, -, -, -, -, -, -, 2-7, -, 1-6, -, -, -, 
86, NP_000182 GeneID:3155 HMGCL,0.999, Possessing mitochondrial presequence, 20(MPP),0.25, 4-8, 3-12-high, 19-24, -, -, -, -, -, -, -, 2-7, -, 1-6, -, -, -, 
87, NP_001093097 GeneID:56181 MTFR1L,0.099, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
88, NP_001093096 GeneID:56181 MTFR1L,0.083, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
89, NP_062457 GeneID:56181 MTFR1L,0.083, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
90, NP_001093095 GeneID:56181 MTFR1L,0.083, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
91, NP_835498 GeneID:93974 ATPIF1,0.944, Possessing mitochondrial presequence, 24(MPP),0.125, , 7-16-low, -, -, -, -, -, -, 7-12, -, -, 6-11, -, -, -, -, 
92, NP_057395 GeneID:93974 ATPIF1,0.996, Possessing mitochondrial presequence, 24(MPP),0.125, , 7-16-low, -, -, -, -, -, -, 7-12, -, -, 6-11, -, -, -, -, 
93, NP_835497 GeneID:93974 ATPIF1,0.94, Possessing mitochondrial presequence, 24(MPP),0.125, , 7-16-low, -, -, -, -, -, -, 7-12, -, -, 6-11, -, -, -, -, 
94, NP_001019903 GeneID:51102 MECR,0, No mitochondrial presequence, 64(MPP),-0.031, 95-99, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
95, NP_057095 GeneID:51102 MECR,0.696, Possessing mitochondrial presequence, 19(MPP),0.211, , 10-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
96, NP_001186128 GeneID:204 AK2,0, No mitochondrial presequence, 18(MPP),0," 32-36,41-45,49-53,70-74", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
97, NP_037543 GeneID:204 AK2,0, No mitochondrial presequence, 18(MPP),0," 32-36,41-45,49-53,70-74", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
98, NP_001616 GeneID:204 AK2,0, No mitochondrial presequence, 18(MPP),0," 32-36,41-45,49-53,70-74", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
99, NP_112570 GeneID:64960 MRPS15,0.991, Possessing mitochondrial presequence, 52(MPP),0.135," 1-5,89-93", 1-10-high, -, -, -, -, -, -, -, 5-10, -, 4-9, -, -, -, -, 
100, NP_004543 GeneID:4725 NDUFS5,0.027, No mitochondrial presequence, 75(MPP),0.013, 14-18, 5-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
101, NP_001171908 GeneID:4725 NDUFS5,0.027, No mitochondrial presequence, 75(MPP),0.013, 14-18, 5-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
102, NP_060116 GeneID:54802 TRIT1,0.106, No mitochondrial presequence, 22(MPP),0.136, 6-10, 12-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
103, NP_001041638 GeneID:4595 MUTYH,0, No mitochondrial presequence, 61(MPP),0.098, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
104, NP_036354 GeneID:4595 MUTYH,0.455, Possessing mitochondrial presequence, 11(MPP),0.182, 8-12, 3-12-high, -, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, 
105, NP_001121897 GeneID:4595 MUTYH,0.438, Possessing mitochondrial presequence, 11(MPP),0.182, 8-12, 3-12-high, -, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, 
106, NP_001041639 GeneID:4595 MUTYH,0, No mitochondrial presequence, 61(MPP),0.098, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
107, NP_001041636 GeneID:4595 MUTYH,0.571, Possessing mitochondrial presequence, 11(MPP),0.182, 8-12, 3-12-high, -, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, 
108, NP_001041637 GeneID:4595 MUTYH,0, No mitochondrial presequence, 62(MPP),0.097, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
109, NP_056321 GeneID:25974 MMACHC,0, No mitochondrial presequence, 74(MPP),-0.014, 59-63, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
109, NP_056321 GeneID:25974 MMACHC,0, No mitochondrial presequence, 75(Icp55*),-0.014, 59-63, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
110, NP_005995 GeneID:7388 UQCRH,0.223, No mitochondrial presequence, 35(MPP),-0.4," 40-44,83-87", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
111, NP_001243056 GeneID:387338 NSUN4,0, No mitochondrial presequence, 82(MPP),-0.037, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
111, NP_001243056 GeneID:387338 NSUN4,0, No mitochondrial presequence, 83(Icp55*),-0.037, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
112, NP_950245 GeneID:387338 NSUN4,0.214, No mitochondrial presequence, 43(MPP),0.209, 40-44, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
113, NP_001243057 GeneID:387338 NSUN4,0, No mitochondrial presequence, 82(MPP),-0.037, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
113, NP_001243057 GeneID:387338 NSUN4,0, No mitochondrial presequence, 83(Icp55*),-0.037, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
114, NP_073582 GeneID:64756 ATPAF1,0, No mitochondrial presequence, 48(MPP),-0.083, , 18-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
115, NP_001243347 GeneID:64756 ATPAF1,0.011, No mitochondrial presequence, 80(MPP),0, , 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
116, NP_001036011 GeneID:64756 ATPAF1,0, No mitochondrial presequence, 48(MPP),-0.083, , 18-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
117, NP_001230657 GeneID:64756 ATPAF1,0, No mitochondrial presequence, 49(MPP),0.061, 30-34, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
117, NP_001230657 GeneID:64756 ATPAF1,0, No mitochondrial presequence, 50(Icp55*),0.061, 30-34, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
118, NP_056997 GeneID:51060 TXNDC12,0.003, No mitochondrial presequence, 42(MPP),0.024, 68-72, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
119, NP_075565 GeneID:65260 COA7,0, No mitochondrial presequence, 49(MPP),-0.143," 37-41,54-58,92-96", 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
120, NP_060751 GeneID:55268 ECHDC2,0.901, Possessing mitochondrial presequence, 34(MPP),0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
120, NP_060751 GeneID:55268 ECHDC2,0.901, Possessing mitochondrial presequence, 35(Icp55*),0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
121, NP_001185891 GeneID:55268 ECHDC2,0.905, Possessing mitochondrial presequence, 34(MPP),0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
121, NP_001185891 GeneID:55268 ECHDC2,0.905, Possessing mitochondrial presequence, 35(Icp55*),0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
122, NP_001185890 GeneID:55268 ECHDC2,0.896, Possessing mitochondrial presequence, 34(MPP),0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
122, NP_001185890 GeneID:55268 ECHDC2,0.896, Possessing mitochondrial presequence, 35(Icp55*),0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
123, NP_001007099 GeneID:6342 SCP2,0.017, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
124, NP_001007100 GeneID:6342 SCP2,0, No mitochondrial presequence, 12(MPP),0, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
125, NP_001007251 GeneID:6342 SCP2,0, No mitochondrial presequence, 46(MPP),0, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
126, NP_001007101 GeneID:6342 SCP2,0, No mitochondrial presequence, 9(MPP),0, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
127, NP_000089 GeneID:1376 CPT2,0.996, Possessing mitochondrial presequence, 24(MPP),0.167," 2-6,6-10,61-65", 2-12-high, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, -, 
127, NP_000089 GeneID:1376 CPT2,0.996, Possessing mitochondrial presequence, 25(Icp55*),0.167," 2-6,6-10,61-65", 2-12-high, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, -, 
128, NP_057575 GeneID:51253 MRPL37,0.5, Possessing mitochondrial presequence, 29(MPP),0.138," 8-12,46-50", 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
129, NP_689481 GeneID:25973 PARS2,0.578, Possessing mitochondrial presequence, 29(MPP),0.103," 29-33,42-46,87-91", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
