Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_008766917.1,o-spanin (Rz1) [Shigella phage SfIV],113,19.32,19.12,1,i19-38o,0.161,No mitochondrial presequence,44(MPP),0.091,"16-20,20-24",14-24-high,-,-,-,-,-,-,-,-,-,-,-,15-20,-,-
YP_008767167.1,hypothetical protein FREDWARD_100 [Mycobacterium phage Fredward],84,20.41,20.41,1,i9-31o,0.274,No mitochondrial presequence,39(MPP),0.077,11-15,6-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008772106.1,unnamed protein product [Streptococcus phage TP-778L],80,33.79,32.91,2,i13-30o40-62i,0.136,No mitochondrial presequence,"67(MPP), 68(Icp55*)",0.000,,13-22-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008798241.1,VP1 [Gyrovirus Tu789],453,21.65,0.00,1,i313-335o,0.699,Possessing mitochondrial presequence,"46(MPP), 47(Icp55*)",0.478,,14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008492945.1,membrane protein [Staphylococcus phage JS01],44,22.80,22.80,1,i13-35o,0.203,No mitochondrial presequence,12(MPP),0.167,34-38,1-10-high,-,-,-,-,-,-,-,-,-,3-8,-,-,-,-
YP_008853805.1,putative lytic transglycosylase catalytic [Ralstonia phage RSK1],211,18.46,18.43,1,i7-26o,0.229,No mitochondrial presequence,42(MPP),0.119,"4-8,95-99",3-12-high,-,-,-,-,-,-,7-12,-,-,-,-,-,-,-
YP_008853747.1,holin [Staphylococcus phage phiRS7],180,35.03,21.88,2,i34-56o66-83i,0.138,No mitochondrial presequence,30(MPP),0.133,,1-10-high,-,7-12,-,-,-,-,-,-,-,-,-,-,-,-
YP_008857105.1,hypothetical protein PAK_P200064 [Pseudomonas phage PAK_P2],76,22.91,22.90,1,i20-42o,0.309,No mitochondrial presequence,16(MPP),0.188,"5-9,66-70",3-12-high,-,-,-,-,5-10,-,-,-,-,-,-,-,-,-
YP_008869173.1,hypothetical protein PAK_P100065 [Pseudomonas phage PAK_P1],78,22.81,22.81,1,i20-42o,0.821,Possessing mitochondrial presequence,16(MPP),0.312,5-9,3-12-high,-,-,-,-,5-10,-,-,-,-,-,-,-,-,-
YP_008869204.1,hypothetical protein PAK_P100136c [Pseudomonas phage PAK_P1],73,22.01,22.01,1,i34-56o,0.126,No mitochondrial presequence,22(MPP),0.045,63-67,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008869213.1,hypothetical protein PAK_P100181c [Pseudomonas phage PAK_P1],132,21.19,0.00,1,i105-123o,0.945,Possessing mitochondrial presequence,10(MPP),0.200,,19-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008766942.1,tail length determinator [Enterobacteria phage fiAA91-ss],815,88.79,0.00,3,o537-559i566-588o593-612i,0.577,Possessing mitochondrial presequence,26(MPP),0.154,10-14,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007349322.1,hypothetical protein G380_gp079 [Bacillus phage phiAGATE],148,74.54,22.66,3,i26-48o63-97i104-126o,0.228,No mitochondrial presequence,21(MPP),0.238,,18-27-high,-,-,-,-,-,1-6,-,-,-,-,-,-,-,-
YP_001941179.1,NSP6 [Turkey coronavirus],293,149.20,42.60,7,i11-33o37-54i67-89o104-126i133-155o170-192i212-234o,0.114,No mitochondrial presequence,15(MPP),0.200,"12-16,38-42,56-60",2-11-high,-,-,-,-,-,-,-,-,-,-,-,11-16,-,-
YP_004598983.1,putative spike protein [Cavally virus],900,21.10,0.00,1,o878-897i,0.241,No mitochondrial presequence,24(MPP),0.042,,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004598986.1,hypothetical protein CAVV_gp6 [Cavally virus],116,25.12,0.67,1,i73-95o,0.702,Possessing mitochondrial presequence,34(MPP),0.118,,1-11-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_008060536.1,hypothetical protein Lw1_gp012 [Escherichia phage Lw1],214,20.38,20.37,1,i21-43o,0.181,No mitochondrial presequence,27(MPP),0.185,,8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008869287.1,polyprotein P2a [Turnip rosette virus],538,42.56,42.47,2,o10-29i36-58o,0.140,No mitochondrial presequence,"29(MPP), 30(Icp55*)",0.103,"7-11,26-30,60-64",4-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008869286.1,polyprotein P2ab [Turnip rosette virus],929,42.54,42.47,2,o10-29i36-58o,0.189,No mitochondrial presequence,"29(MPP), 30(Icp55*)",0.103,"7-11,26-30,60-64",4-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006383842.1,bactoprenol-linked glucose translocase [Salmonella phage SPN9CC],120,81.65,39.72,4,i12-31o35-54i67-84o94-116i,0.122,No mitochondrial presequence,67(MPP),0.060,1-5,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008719826.1,pX [Turkey aviadenovirus 4],206,23.37,0.01,1,i162-184o,0.562,Possessing mitochondrial presequence,51(MPP),0.353,,1-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008719858.1,pX [Turkey aviadenovirus 5],178,23.14,0.01,1,o137-159i,0.466,Possessing mitochondrial presequence,"37(MPP), 38(Icp55*)",0.405,85-89,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_003344812.1,putative lytic protein Rz [Aggregatibacter phage S1249],110,19.40,19.40,1,i2-24o,0.239,No mitochondrial presequence,78(MPP),0.013,"4-8,50-54,75-79",4-13-high,-,-,-,-,-,-,-,-,-,-,-,3-8,4-9,-
YP_006218743.1,hypothetical protein EF62_phi0048 [Enterococcus phage EF62phi],77,21.44,20.84,1,i20-42o,0.108,No mitochondrial presequence,67(MPP),0.090,"21-25,54-58,72-76",4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008658480.1,conserved hypothetical pox protein [Squirrelpox virus],98,42.91,13.68,2,i48-67o71-93i,0.122,No mitochondrial presequence,48(MPP),0.083,"41-45,45-49,63-67",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008658527.1,IMV membrane protein [Squirrelpox virus],95,44.60,38.15,2,i9-31o46-68i,0.252,No mitochondrial presequence,85(MPP),0.047,"3-7,67-71",3-15-high,-,-,-,-,3-8,-,6-11,-,-,-,-,-,-,-
YP_008658561.1,anti-apoptotic [Squirrelpox virus],250,22.65,0.00,1,o221-243i,0.182,No mitochondrial presequence,12(MPP),0.167,,1-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008992100.1,pif5 [Choristoneura murinana nucleopolyhedrovirus],380,39.61,0.01,1,o323-345i,0.359,No mitochondrial presequence,"28(MPP), 36(Oct1)",0.107,11-15,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008992129.1,ac124 [Choristoneura murinana nucleopolyhedrovirus],242,128.06,26.94,6,i21-40o55-77i86-108o123-145i157-176o186-205i,0.228,No mitochondrial presequence,21(MPP),0.095,92-96,10-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009001771.1,polyprotein [Kama virus],3419,363.15,15.83,14,o718-740i745-767o1150-1172i1225-1247o1288-1307i1319-1341o1376-1398i1454-1476o2160-2182i2189-2208o2212-2229i2242-2264o2301-2320i2373-2395o,0.689,Possessing mitochondrial presequence,35(MPP),0.257,"40-44,57-61,76-80",1-10-high,-,-,-,-,-,16-21,-,-,-,15-20,-,-,-,-
YP_009001774.1,hypothetical protein [Wallerfield virus],199,75.80,8.98,4,o49-71i101-120o135-157i164-183o,0.542,Possessing mitochondrial presequence,25(MPP),0.200,43-47,2-11-low,-,-,-,-,-,-,-,16-21,-,15-20,-,-,-,-
YP_009001800.1,P74 [Buzura suppressaria nucleopolyhedrovirus],662,88.42,0.00,4,o362-384i445-467o596-614i621-643o,0.362,No mitochondrial presequence,40(MPP),0.100,"5-9,24-28,44-48,68-72",5-16-high,-,-,-,-,5-10,-,-,-,-,-,-,-,24-29,-
YP_009001832.1,PIF-6 [Buzura suppressaria nucleopolyhedrovirus],122,21.07,0.00,1,i89-111o,0.313,No mitochondrial presequence,41(MPP),0.122,"26-30,29-33,73-77",20-30-low,4-9,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009001891.1,FGF [Buzura suppressaria nucleopolyhedrovirus],352,19.51,19.45,1,i29-51o,0.263,No mitochondrial presequence,15(MPP),0.133,"26-30,86-90",2-11-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009003396.1,phage holin [Streptococcus phage 20617],80,34.55,33.79,2,i13-30o40-62i,0.166,No mitochondrial presequence,67(MPP),0.030,,13-22-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009002682.1,holin [Mycobacterium phage Validus],153,66.27,11.80,3,o63-80i87-106o111-128i,0.135,No mitochondrial presequence,"21(MPP), 22(Icp55*)",0.048,"1-5,85-89",7-16-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009002696.1,hypothetical protein PBI_VALIDUS_46 [Mycobacterium phage Validus],306,142.29,35.31,7,o4-26i39-61o76-95i108-130o145-167i187-209o214-233i,0.561,Possessing mitochondrial presequence,26(MPP),0.077,94-98,1-10-low,-,-,-,-,-,-,8-13,-,-,7-12,-,-,-,-
YP_009003191.1,tail tape measure protein [Rhizobium phage vB_RleS_L338C],935,56.14,0.00,2,o339-361i382-404o,0.879,Possessing mitochondrial presequence,37(MPP),0.243,"11-15,43-47",10-23-high,-,-,-,12-17,-,-,-,-,-,-,-,-,-,-
YP_009003248.1,hypothetical protein L338C_091 [Rhizobium phage vB_RleS_L338C],97,22.95,22.95,1,i13-35o,0.287,No mitochondrial presequence,62(MPP),0.048,,1-13-high,-,-,-,-,-,-,-,-,-,8-13,-,-,-,-
YP_009006600.1,hypothetical protein [Oenococcus phage phiS11],91,42.02,42.01,2,i7-26o36-58i,0.103,No mitochondrial presequence,7(MPP),0.143,"4-8,24-28,33-37",9-18-low,-,-,-,-,24-29,-,-,-,-,-,-,3-8,-,-
YP_009008115.1,"Conserved archaeal viral membrane protein, acyltransferase family [Sulfolobus monocaudavirus SMV1]",319,201.01,40.18,10,i9-28o33-55i75-94o104-126i151-170o175-197i210-227o237-255i260-282o286-305i,0.278,No mitochondrial presequence,"14(MPP), 15(Icp55*)",0.143,"22-26,64-68,72-76,89-93",1-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009008134.1,hypothetical protein [Ralstonia phage 1 NP-2014],95,15.53,15.53,1,o4-21i,0.521,Possessing mitochondrial presequence,26(MPP),0.077,"46-50,49-53,53-57,75-79,89-93",1-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009009372.1,hypothetical protein [Pseudomonas phage phiPsa374],785,27.55,0.00,1,o540-562i,0.201,No mitochondrial presequence,9(MPP),-0.111,,20-29-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009010231.1,hypothetical protein [Erwinia phage PhiEaH1],175,38.72,34.87,2,o4-23i43-65o,0.227,No mitochondrial presequence,41(MPP),0.024,12-16,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009010278.1,hypothetical protein [Erwinia phage PhiEaH1],460,33.16,5.33,1,i55-77o,0.714,Possessing mitochondrial presequence,34(MPP),0.147,"16-20,72-76,76-80",16-25-low,-,-,-,-,-,-,-,-,-,-,-,15-20,16-21,-
YP_009010358.1,"Ribonucleoside-diphosphate reductase, beta subunit [Invertebrate iridescent virus 30]",367,37.42,18.69,2,o5-22i200-222o,0.266,No mitochondrial presequence,30(MPP),0.133,"21-25,93-97",19-28-high,-,-,-,-,-,-,-,-,-,-,14-19,-,-,-
YP_009010824.1,"Ribonucleoside-diphosphate reductase, beta subunit [Invertebrate iridescent virus 22]",367,37.42,18.69,2,o5-22i200-222o,0.267,No mitochondrial presequence,30(MPP),0.133,"21-25,93-97",19-28-high,-,-,-,-,-,-,-,-,-,-,14-19,-,-,-
YP_009004652.1,putative tail assembly protein [Edwardsiella phage eiAU-183],198,34.38,0.03,1,i97-119o,0.982,Possessing mitochondrial presequence,24(MPP),0.208,"1-5,31-35",8-17-high,23-28,-,-,7-12,-,-,-,-,-,-,-,-,-,-
YP_009004781.1,hypothetical protein JJJB_0080 [Achromobacter phage JWAlpha],89,43.09,30.90,2,i19-41o51-73i,0.259,No mitochondrial presequence,15(MPP),0.267,67-71,7-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009005330.1,hypothetical protein PG7_066 [Enterobacter phage PG7],91,23.46,23.46,1,i21-43o,0.358,No mitochondrial presequence,13(MPP),0.231,15-19,2-19-high,-,-,-,-,-,-,3-8,-,-,-,-,14-19,-,-
YP_009005396.1,hypothetical protein PG7_132 [Enterobacter phage PG7],120,45.50,28.60,2,i19-41o56-78i,0.221,No mitochondrial presequence,83(MPP),0.012,70-74,1-11-high,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009005592.1,hypothetical protein PBI_BELLUSTERRA_34 [Mycobacterium phage BellusTerra],147,87.10,35.82,4,i12-32o47-67i72-94o99-121i,0.139,No mitochondrial presequence,12(MPP),0.250,9-13,19-28-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009005702.1,hypothetical protein PBI_SUFFOLK_55 [Mycobacterium phage Suffolk],121,21.74,21.15,1,i29-51o,0.113,No mitochondrial presequence,23(MPP),0.130,"7-11,50-54,65-69",3-12-high,9-14,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009005829.1,hypothetical protein PBI_EAGLEEYE_87 [Mycobacterium phage EagleEye],76,21.25,21.25,1,i12-34o,0.277,No mitochondrial presequence,12(MPP),0.167,,7-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009007289.1,hypothetical protein PBI_OAKER_8 [Mycobacterium phage Oaker],110,22.80,0.10,1,i62-84o,0.774,Possessing mitochondrial presequence,25(MPP),0.400,"13-17,59-63",4-15-low,-,-,-,-,-,-,-,-,11-16,-,-,-,-,-
YP_009007362.1,hypothetical protein PBI_OAKER_81 [Mycobacterium phage Oaker],98,22.12,22.12,1,o4-26i,0.159,No mitochondrial presequence,35(MPP),0.086,"20-24,90-94",20-29-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009007559.1,hypothetical protein PBI_SAAL_92 [Mycobacterium phage Saal],100,26.33,0.11,1,i61-83o,0.133,No mitochondrial presequence,27(MPP),0.111,49-53,1-10-high,-,23-28,-,-,-,-,-,-,-,-,-,-,-,-
YP_009008580.1,hypothetical protein MaF1660_ph0019 [Mycobacterium phage Adler],491,22.20,21.08,1,i39-61o,0.557,Possessing mitochondrial presequence,31(MPP),0.097,,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009008625.1,hypothetical protein MaF1660_ph0064 [Mycobacterium phage Adler],253,67.30,26.86,3,o25-47i54-76o96-118i,0.130,No mitochondrial presequence,46(MPP),0.000,43-47,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009008648.1,hypothetical protein MaF1660_ph0088 [Mycobacterium phage Adler],158,22.83,22.46,1,o15-37i,0.219,No mitochondrial presequence,41(MPP),0.073,"57-61,61-65,79-83,91-95",2-11-high,-,6-11,-,-,-,-,-,-,-,-,-,-,-,-
YP_009008668.1,hypothetical protein MaF1660_ph0108 [Mycobacterium phage Adler],154,40.41,14.40,2,o46-68i70-92o,0.669,Possessing mitochondrial presequence,45(MPP),0.133,"12-16,22-26",21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009009571.1,hypothetical protein 39HC_014 [Mycobacterium phage 39HC],169,82.72,27.07,4,i21-40o55-77i110-132o137-154i,0.150,No mitochondrial presequence,25(MPP),0.200,22-26,3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009009572.1,hypothetical protein 39HC_015 [Mycobacterium phage 39HC],110,22.84,22.84,1,o4-26i,0.361,No mitochondrial presequence,46(MPP),0.087,22-26,19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009010004.1,tapemeasure [Mycobacterium phage RhynO],851,90.66,10.74,2,o44-66i71-93o,0.168,No mitochondrial presequence,25(MPP),0.080,"23-27,27-31",21-30-high,-,-,-,-,-,-,-,-,-,-,1-6,-,-,-
YP_009001498.1,putative ATP-binding cassette transporter [Anomala cuprea entomopoxvirus],1506,341.47,21.41,14,o20-39i225-247o267-289i309-331o335-357i364-386o406-428i791-813o953-975i996-1018o1033-1055i1062-1084o1089-1111i1157-1179o,0.509,Possessing mitochondrial presequence,14(MPP),0.143,"7-11,47-51",6-16-high,-,-,-,-,-,-,-,-,5-10,-,-,-,-,-
YP_009006921.1,hypothetical protein T548_0043 [Lactococcus phage phiL47],108,20.14,20.14,1,i7-26o,0.203,No mitochondrial presequence,45(MPP),0.089,71-75,1-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009006937.1,hypothetical protein T548_0059 [Lactococcus phage phiL47],83,52.87,37.27,2,i9-31o51-73i,0.333,No mitochondrial presequence,9(MPP),0.444,6-10,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,6-11,-
YP_009010969.1,ORF1a [Porcine astrovirus 5],872,80.71,0.00,3,i136-155o252-274i295-317o,0.603,Possessing mitochondrial presequence,15(MPP),0.133,"12-16,26-30",21-30-high,-,-,-,-,-,-,22-27,-,-,-,-,-,-,-
YP_009010968.1,ORF1ab [Porcine astrovirus 5],1363,80.60,0.00,3,i136-155o252-274i295-317o,0.621,Possessing mitochondrial presequence,15(MPP),0.133,"12-16,26-30",21-30-high,-,-,-,-,-,-,22-27,-,-,-,-,-,-,-
YP_009011041.1,envelope glycoprotein K [Chimpanzee herpesvirus strain 105640],338,121.79,22.22,5,o10-32i125-142o214-236i249-271o302-324i,0.186,No mitochondrial presequence,37(MPP),0.054,34-38,5-14-high,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-,-
YP_009011056.1,membrane protein US8A [Chimpanzee herpesvirus strain 105640],146,21.78,0.00,1,i121-143o,0.982,Possessing mitochondrial presequence,47(MPP),0.128,,13-22-high,-,-,-,-,-,4-9,-,-,-,-,-,-,-,-
YP_009011249.1,gp18 [Mycobacterium phage Gadjet],144,79.15,39.44,4,o5-27i34-53o82-101i108-130o,0.154,No mitochondrial presequence,37(MPP),0.135,"7-11,21-25",4-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009011251.1,gp20 [Mycobacterium phage Gadjet],159,68.07,25.60,3,i21-38o53-75i95-117o,0.836,Possessing mitochondrial presequence,14(MPP),0.357,22-26,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009011286.1,gp55 [Mycobacterium phage Gadjet],109,23.46,23.31,1,i7-29o,0.317,No mitochondrial presequence,31(MPP),0.129,"7-11,80-84",2-11-high,-,-,-,4-9,-,-,-,-,-,-,-,-,-,-
YP_009011368.1,gp35 [Mycobacterium virus Bruns],94,19.34,19.34,1,i5-27o,0.293,No mitochondrial presequence,80(MPP),0.050,"41-45,74-78",1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009011660.1,conserved hypothetical protein [Aeromonas phage PX29],75,44.27,41.41,2,i13-35o39-61i,0.282,No mitochondrial presequence,44(MPP),0.068,"4-8,8-12,63-67",3-12-high,-,-,-,-,4-9,-,-,-,-,-,-,-,-,-
YP_009011752.1,conserved hypothetical protein [Aeromonas phage PX29],140,57.63,34.72,3,i21-43o48-70i122-139o,0.409,Possessing mitochondrial presequence,24(MPP),0.083,"7-11,81-85",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009011985.1,gp86 [Mycobacterium virus Courthouse],235,134.66,31.60,6,i28-50o54-73i86-108o128-150i157-179o194-216i,0.108,No mitochondrial presequence,86(MPP),0.035,"55-59,83-87",9-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009012151.1,gp11 [Mycobacterium phage Patience],140,17.67,10.44,1,i50-67o,0.262,No mitochondrial presequence,69(MPP),0.304,94-98,1-15-high,-,-,-,-,-,-,-,-,11-16,-,-,-,-,-
YP_009012153.1,gp13 [Mycobacterium phage Patience],169,19.07,19.07,1,i27-44o,0.877,Possessing mitochondrial presequence,23(MPP),0.435,"24-28,59-63",1-11-low,-,-,-,-,-,-,-,-,7-12,-,-,-,-,-
YP_009012154.1,gp14 [Mycobacterium phage Patience],181,20.39,18.25,1,i38-55o,0.934,Possessing mitochondrial presequence,32(MPP),0.406,13-17,10-19-low,-,-,-,-,-,-,-,-,16-21,-,-,-,-,-
YP_009012155.1,gp15 [Mycobacterium phage Patience],295,19.74,19.50,1,i39-56o,0.560,Possessing mitochondrial presequence,"17(MPP), 18(Icp55*)",0.471,89-93,2-11-high,-,-,-,-,-,-,-,-,18-23,-,-,-,-,-
YP_009012157.1,gp17 [Mycobacterium phage Patience],110,20.12,20.10,1,i27-49o,0.963,Possessing mitochondrial presequence,31(MPP),0.419,"48-52,65-69",19-28-low,-,-,-,-,-,-,-,-,7-12,-,-,-,-,-
YP_009012207.1,gp67 [Mycobacterium phage Patience],135,40.16,22.13,2,i9-31o79-101i,0.275,No mitochondrial presequence,62(MPP),0.081,,15-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009012723.1,gp35 [Mycobacterium phage Violet],98,18.74,18.74,1,i5-27o,0.343,No mitochondrial presequence,85(MPP),0.094,"22-26,41-45,66-70",1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
