 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 NP_001095132 GeneID:4898 NRD1,0.152, No mitochondrial presequence, 44(MPP),0.091, , 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002516 GeneID:4898 NRD1,0.149, No mitochondrial presequence, 44(MPP),0.091, , 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001229290 GeneID:4898 NRD1,0, No mitochondrial presequence, 68(MPP),-0.618, , 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_660286 GeneID:115209 OMA1,0.257, No mitochondrial presequence, 19(MPP),0.105, 43-47, 3-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_982289 GeneID:205 AK4,0.5, Possessing mitochondrial presequence, 72(MPP),0.056," 2-6,5-9,22-26,69-73", 20-29-high, -, -, -, -, -, -, -, -, -, -, -," 1-6,21-26", 22-27, -, 
 NP_037542 GeneID:205 AK4,0.5, Possessing mitochondrial presequence, 72(MPP),0.056," 2-6,5-9,22-26,69-73", 20-29-high, -, -, -, -, -, -, -, -, -, -, -," 1-6,21-26", 22-27, -, 
 NP_001005353 GeneID:205 AK4,0.5, Possessing mitochondrial presequence, 72(MPP),0.056," 2-6,5-9,22-26,69-73", 20-29-high, -, -, -, -, -, -, -, -, -, -, -," 1-6,21-26", 22-27, -, 
 NP_036269 GeneID:23576 DDAH1,0.069, No mitochondrial presequence, 32(MPP),0.062," 13-17,17-21", 17-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001116146 GeneID:5825 ABCD3,0.867, Possessing mitochondrial presequence, 32(MPP),0.188," 4-8,59-63,64-68,70-74", 4-15-low, -, -, -, -, -, -, -, -, -, -, 23-28, 3-8, 4-9, -, 
 NP_002849 GeneID:5825 ABCD3,0.85, Possessing mitochondrial presequence, 32(MPP),0.188," 4-8,59-63,64-68,70-74", 4-15-low, -, -, -, -, -, -, -, -, -, -, 23-28, 3-8, 4-9, -, 
 NP_957715 GeneID:10352 WARS2,0.858, Possessing mitochondrial presequence, 18(MPP),0.222, 15-19, 14-23-high, -, -, -, -, 15-20, 2-7, -, -, -, 1-6, -, -, -, -, 
 NP_056651 GeneID:10352 WARS2,0.86, Possessing mitochondrial presequence, 18(MPP),0.222, 15-19, 14-23-high, -, -, -, -, 15-20, 2-7, -, -, -, 1-6, -, -, -, -, 
 NP_057611 GeneID:51179 HAO2,0, No mitochondrial presequence, 15(MPP),-0.067, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001005783 GeneID:51179 HAO2,0, No mitochondrial presequence, 15(MPP),-0.067, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079426 GeneID:80222 TARS2,0.287, No mitochondrial presequence, 50(MPP),0.1, 47-51, 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001258824 GeneID:80222 TARS2,0.283, No mitochondrial presequence, 50(MPP),0.1, 47-51, 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001258825 GeneID:80222 TARS2,0.285, No mitochondrial presequence, 50(MPP),0.1, 47-51, 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056230 GeneID:25874 MPC2,0.295, No mitochondrial presequence, 30(MPP),0.1, 13-17, 9-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001137146 GeneID:25874 MPC2,0.295, No mitochondrial presequence, 30(MPP),0.1, 13-17, 9-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060592 GeneID:55157 DARS2,0.585, Possessing mitochondrial presequence, 32(MPP),0.156, , 3-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002284 GeneID:3915 LAMC1,0.012, No mitochondrial presequence, 50(MPP),0.06, , 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_932066 GeneID:51022 GLRX2,0.976, Possessing mitochondrial presequence, 13(MPP),0.231," 3-7,24-28,83-87", 21-30-low, -, -, -, -, -, -, -, -, 1-6, -, -, -, -, -, 
 NP_057150 GeneID:51022 GLRX2,0.027, No mitochondrial presequence, 42(MPP),0.167, 84-88, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001230328 GeneID:51022 GLRX2,0, No mitochondrial presequence, 84(MPP),-0.036," 43-47,81-85", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_073583 GeneID:64757 MARC1,0.17, No mitochondrial presequence, 51(MPP),0.157," 9-13,40-44", 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_064632 GeneID:56997 ADCK3,0.003, No mitochondrial presequence, 42(MPP),0," 39-43,83-87", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001092093 GeneID:84033 OBSCN,0.018, No mitochondrial presequence," 12(MPP), 13(Icp55*)",0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_443075 GeneID:84033 OBSCN,0.018, No mitochondrial presequence," 12(MPP), 13(Icp55*)",0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001258152 GeneID:84033 OBSCN,0.018, No mitochondrial presequence," 12(MPP), 13(Icp55*)",0, 9-13, 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055580 GeneID:9804 TOMM20,0.008, No mitochondrial presequence, 30(MPP),0.133, 66-70, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003670 GeneID:8564 KMO,0.021, No mitochondrial presequence, 31(MPP),0.129, 65-69, 17-26-low, -, -, -, -, -, -, -, -, -, -, 25-30, -, -, -, 
 NP_001120701 GeneID:54998 AURKAIP1,0.903, Possessing mitochondrial presequence, 48(MPP),0.104, 10-14, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001120702 GeneID:54998 AURKAIP1,0.903, Possessing mitochondrial presequence, 48(MPP),0.104, 10-14, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_699170 GeneID:126789 PUSL1,0.011, No mitochondrial presequence, 65(MPP),0.031, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060441 GeneID:55052 MRPL20,0.85, Possessing mitochondrial presequence, 30(MPP),0.133," 38-42,46-50", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_114127 GeneID:83858 ATAD3B,0, No mitochondrial presequence, 36(MPP),0," 55-59,58-62", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001164006 GeneID:55210 ATAD3A,0, No mitochondrial presequence, 36(MPP),0," 55-59,58-62", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001164007 GeneID:55210 ATAD3A,0, No mitochondrial presequence, 31(MPP),-0.065, , 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060658 GeneID:55210 ATAD3A,0, No mitochondrial presequence, 36(MPP),0," 55-59,58-62", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_863656 GeneID:11332 ACOT7,0.01, No mitochondrial presequence, 40(MPP),0," 5-9,25-29", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_863655 GeneID:11332 ACOT7,0.22, No mitochondrial presequence, 70(MPP),0.043," 17-21,46-50", 10-19-high, -, -, -, -, -, -, -, -, -, -, 1-6, -, -, -, 
 NP_060668 GeneID:55735 DNAJC11,0, No mitochondrial presequence, 24(MPP),-0.208," 34-38,55-59", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_009193 GeneID:11315 PARK7,0, No mitochondrial presequence, 28(MPP),0.036, , 9-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001116849 GeneID:11315 PARK7,0, No mitochondrial presequence, 28(MPP),0.036, , 9-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_115691 GeneID:84275 SLC25A33,0.004, No mitochondrial presequence, 39(MPP),0.026, 12-16, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079034 GeneID:79814 AGMAT,0.871, Possessing mitochondrial presequence, 35(MPP),0.171, 1-5, 1-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_997231 GeneID:284723 SLC25A34,0, No mitochondrial presequence, 49(MPP),0, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055239 GeneID:27129 HSPB7,0.019, No mitochondrial presequence," 14(MPP), 22(Oct1)",0.143," 30-34,41-45", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002991 GeneID:6390 SDHB,0.963, Possessing mitochondrial presequence, 28(MPP),0.143, 39-43, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003739 GeneID:8659 ALDH4A1,0.996, Possessing mitochondrial presequence, 24(MPP),0.167," 8-12,50-54,91-95", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_733844 GeneID:8659 ALDH4A1,0.996, Possessing mitochondrial presequence, 24(MPP),0.167," 8-12,50-54,91-95", 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001154976 GeneID:8659 ALDH4A1,0, No mitochondrial presequence, 54(MPP),-0.019," 31-35,42-46,68-72", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003680 GeneID:8574 AKR7A2,0.999, Possessing mitochondrial presequence, 38(MPP),0.132," 5-9,9-13,13-17,59-63", 1-11-high, -, -, -, -, -, -, -, -, -, -, -," 4-9,8-13", 5-10, -, 
 NP_001191012 GeneID:440574 MINOS1,0, No mitochondrial presequence, 39(MPP),0.077, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001191011 GeneID:440574 MINOS1,0.005, No mitochondrial presequence," 13(MPP), 14(Icp55*)",0," 10-14,21-25", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001027535 GeneID:440574 MINOS1,0.003, No mitochondrial presequence, 39(MPP),0.077, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_078820 GeneID:79594 MUL1,0, No mitochondrial presequence, 31(MPP),0.032, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001159531 GeneID:3155 HMGCL,0.999, Possessing mitochondrial presequence, 20(MPP),0.25, 4-8, 3-12-high, 19-24, -, -, -, -, -, -, -, 2-7, -, 1-6, -, -, -, 
 NP_000182 GeneID:3155 HMGCL,0.999, Possessing mitochondrial presequence, 20(MPP),0.25, 4-8, 3-12-high, 19-24, -, -, -, -, -, -, -, 2-7, -, 1-6, -, -, -, 
 NP_001093097 GeneID:56181 MTFR1L,0.099, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
 NP_001093096 GeneID:56181 MTFR1L,0.083, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
 NP_062457 GeneID:56181 MTFR1L,0.083, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
 NP_001093095 GeneID:56181 MTFR1L,0.083, No mitochondrial presequence, 27(MPP),0.111, , 21-30-high, -, -, -, -, -, -, 20-25, -, -, -, -, -, -, -, 
 NP_835498 GeneID:93974 ATPIF1,0.944, Possessing mitochondrial presequence, 24(MPP),0.125, , 7-16-low, -, -, -, -, -, -, 7-12, -, -, 6-11, -, -, -, -, 
 NP_057395 GeneID:93974 ATPIF1,0.996, Possessing mitochondrial presequence, 24(MPP),0.125, , 7-16-low, -, -, -, -, -, -, 7-12, -, -, 6-11, -, -, -, -, 
 NP_835497 GeneID:93974 ATPIF1,0.94, Possessing mitochondrial presequence, 24(MPP),0.125, , 7-16-low, -, -, -, -, -, -, 7-12, -, -, 6-11, -, -, -, -, 
 NP_001019903 GeneID:51102 MECR,0, No mitochondrial presequence, 64(MPP),-0.031, 95-99, 12-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_057095 GeneID:51102 MECR,0.696, Possessing mitochondrial presequence, 19(MPP),0.211, , 10-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186128 GeneID:204 AK2,0, No mitochondrial presequence, 18(MPP),0," 32-36,41-45,49-53,70-74", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_037543 GeneID:204 AK2,0, No mitochondrial presequence, 18(MPP),0," 32-36,41-45,49-53,70-74", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001616 GeneID:204 AK2,0, No mitochondrial presequence, 18(MPP),0," 32-36,41-45,49-53,70-74", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_112570 GeneID:64960 MRPS15,0.991, Possessing mitochondrial presequence, 52(MPP),0.135," 1-5,89-93", 1-10-high, -, -, -, -, -, -, -, 5-10, -, 4-9, -, -, -, -, 
 NP_004543 GeneID:4725 NDUFS5,0.027, No mitochondrial presequence, 75(MPP),0.013, 14-18, 5-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001171908 GeneID:4725 NDUFS5,0.027, No mitochondrial presequence, 75(MPP),0.013, 14-18, 5-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060116 GeneID:54802 TRIT1,0.106, No mitochondrial presequence, 22(MPP),0.136, 6-10, 12-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001041638 GeneID:4595 MUTYH,0, No mitochondrial presequence, 61(MPP),0.098, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036354 GeneID:4595 MUTYH,0.455, Possessing mitochondrial presequence, 11(MPP),0.182, 8-12, 3-12-high, -, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, 
 NP_001121897 GeneID:4595 MUTYH,0.438, Possessing mitochondrial presequence, 11(MPP),0.182, 8-12, 3-12-high, -, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, 
 NP_001041639 GeneID:4595 MUTYH,0, No mitochondrial presequence, 61(MPP),0.098, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001041636 GeneID:4595 MUTYH,0.571, Possessing mitochondrial presequence, 11(MPP),0.182, 8-12, 3-12-high, -, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, 
 NP_001041637 GeneID:4595 MUTYH,0, No mitochondrial presequence, 62(MPP),0.097, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056321 GeneID:25974 MMACHC,0, No mitochondrial presequence," 74(MPP), 75(Icp55*)",-0.014, 59-63, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_005995 GeneID:7388 UQCRH,0.223, No mitochondrial presequence, 35(MPP),-0.4," 40-44,83-87", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001243056 GeneID:387338 NSUN4,0, No mitochondrial presequence," 82(MPP), 83(Icp55*)",-0.037, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_950245 GeneID:387338 NSUN4,0.214, No mitochondrial presequence, 43(MPP),0.209, 40-44, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001243057 GeneID:387338 NSUN4,0, No mitochondrial presequence," 82(MPP), 83(Icp55*)",-0.037, , 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_073582 GeneID:64756 ATPAF1,0, No mitochondrial presequence, 48(MPP),-0.083, , 18-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001243347 GeneID:64756 ATPAF1,0.011, No mitochondrial presequence, 80(MPP),0, , 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001036011 GeneID:64756 ATPAF1,0, No mitochondrial presequence, 48(MPP),-0.083, , 18-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001230657 GeneID:64756 ATPAF1,0, No mitochondrial presequence," 49(MPP), 50(Icp55*)",0.061, 30-34, 7-16-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056997 GeneID:51060 TXNDC12,0.003, No mitochondrial presequence, 42(MPP),0.024, 68-72, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_075565 GeneID:65260 COA7,0, No mitochondrial presequence, 49(MPP),-0.143," 37-41,54-58,92-96", 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060751 GeneID:55268 ECHDC2,0.901, Possessing mitochondrial presequence," 34(MPP), 35(Icp55*)",0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001185891 GeneID:55268 ECHDC2,0.905, Possessing mitochondrial presequence," 34(MPP), 35(Icp55*)",0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001185890 GeneID:55268 ECHDC2,0.896, Possessing mitochondrial presequence," 34(MPP), 35(Icp55*)",0.118, 1-5, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001007099 GeneID:6342 SCP2,0.017, No mitochondrial presequence, 14(MPP),0.071," 11-15,21-25", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001007100 GeneID:6342 SCP2,0, No mitochondrial presequence, 12(MPP),0, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001007251 GeneID:6342 SCP2,0, No mitochondrial presequence, 46(MPP),0, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001007101 GeneID:6342 SCP2,0, No mitochondrial presequence, 9(MPP),0, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000089 GeneID:1376 CPT2,0.996, Possessing mitochondrial presequence," 24(MPP), 25(Icp55*)",0.167," 2-6,6-10,61-65", 2-12-high, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, -, 
 NP_057575 GeneID:51253 MRPL37,0.5, Possessing mitochondrial presequence, 29(MPP),0.138," 8-12,46-50", 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_689481 GeneID:25973 PARS2,0.578, Possessing mitochondrial presequence, 29(MPP),0.103," 29-33,42-46,87-91", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055577 GeneID:1718 DHCR24,0, No mitochondrial presequence, 32(MPP),0.031, 51-55, 20-29-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001880 GeneID:1429 CRYZ,0.029, No mitochondrial presequence, 26(MPP),0.115," 7-11,10-14", 3-12-high, -, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, 
 NP_001123515 GeneID:1429 CRYZ,0.027, No mitochondrial presequence, 26(MPP),0.115," 7-11,10-14", 3-12-high, -, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, 
 NP_001123514 GeneID:1429 CRYZ,0.029, No mitochondrial presequence, 26(MPP),0.115," 7-11,10-14", 3-12-high, -, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, 
 NP_001128231 GeneID:1429 CRYZ,0.023, No mitochondrial presequence, 34(MPP),0.029," 31-35,72-76", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001120800 GeneID:34 ACADM,0.898, Possessing mitochondrial presequence, 26(MPP),0.192," 5-9,56-60,82-86", 14-23-high, -, -, -, -, -, -, -, 15-20, -, -, -, -, -, 14-19, 
 NP_000007 GeneID:34 ACADM,0.996, Possessing mitochondrial presequence, 22(MPP),0.227," 5-9,8-12,52-56,78-82", 9-18-high, -, -, -, -, 8-13, -, -, 11-16, -, -, -, -, -, -, 
 NP_001272973 GeneID:34 ACADM,0.015, No mitochondrial presequence, 18(MPP),0.111, 26-30, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001272971 GeneID:34 ACADM,0, No mitochondrial presequence," 18(MPP), 19(Icp55*)",0," 16-20,42-46", 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001272972 GeneID:34 ACADM,0.996, Possessing mitochondrial presequence, 22(MPP),0.227," 5-9,8-12,52-56,78-82", 9-18-high, -, -, -, -, 8-13, -, -, 11-16, -, -, -, -, -, -, 
 NP_005265 GeneID:2787 GNG5,0.293, No mitochondrial presequence, 19(MPP),0.158, 10-14, 9-18-high, -, -, -, -, -, -, -, -, 8-13, -, 7-12, -, -, -, 
 NP_001008662 GeneID:56267 CCBL2,0, No mitochondrial presequence, 66(MPP),-0.015," 22-26,51-55,72-76,80-84", 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001008661 GeneID:56267 CCBL2,0.818, Possessing mitochondrial presequence, 45(MPP),0.2," 56-60,85-89", 15-24-high, -, -, -, -, -, -, -, 17-22, -, -, -, -, -, -, 
 NP_037518 GeneID:29957 SLC25A24,0.067, No mitochondrial presequence, 50(MPP),-0.08," 1-5,80-84", 1-10-low, -, -, -, -, 1-6, -, -, -, -, -, -, -, -, -, 
 NP_998816 GeneID:29957 SLC25A24,0, No mitochondrial presequence," 44(MPP), 45(Icp55*)",-0.182," 41-45,61-65", 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001229603 GeneID:10768 AHCYL1,0.485, Possessing mitochondrial presequence," 19(MPP), 27(Oct1)",0.211, , 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
